C	AP	S	thetha	PPS	CPS	d
1	2	1	0.963	0.021	0	0.158
20	2	1	18.853	127.793	0	0.297
40	2	1	38.897	235.981	0	0.633
60	2	1	59.005	251.683	0	1.604
80	2	1	77.861	394.295	0.002	2.638
100	2	1	93.637	526.486	0.005	3.939
120	2	1	112.894	508.536	0.014	14.299
140	2	1	135.443	802.637	0.06	32.89
160	2	1	158.858	738.536	0.213	63.132
180	2	1	172.402	912.077	0.585	130.667
200	2	1	190.508	980.415	0.882	233.677
220	2	1	205.432	1185.657	0.976	482.814
240	2	1	223.353	1145.602	0.988	692.4
260	2	1	227.594	1305.815	0.996	775.416
280	2	1	241.21	1328.97	1	803.147
300	2	1	247.188	1234.091	1	839.13
320	2	1	247.134	1305.868	1	870.765
340	2	1	249.669	1411.878	1	877.661
360	2	1	271.794	1206.682	1	930.44
380	2	1	270.928	1562.016	0.99	968.107
400	2	1	272.644	1453.32	0.993	920.023
420	2	1	278.004	1739.301	0.971	1003.323
440	2	1	296.797	1509.565	0.985	973.802
460	2	1	302.659	1938.341	1	947.967
480	2	1	307.808	1581.289	0.995	999.331
500	2	1	276.305	1805.408	0.997	966.443
520	2	1	259.83	1710.114	1	991.102
540	2	1	234.882	1618.196	0.997	975.96
560	2	1	222.021	1645.483	1	1029.79
580	2	1	218.71	1414.138	1	977.245
600	2	1	208.689	1380.197	0.977	1034.579
620	2	1	186.894	1260.271	1	1005.895
640	2	1	192.441	1464.714	1	965.607
660	2	1	181.488	1347.794	0.99	1006.695
680	2	1	171.409	1481.659	1	993.44
700	2	1	166.896	1398.228	0.994	984.757
720	2	1	157.991	1214.343	0.99	1026.385
740	2	1	156.914	1430.355	1	1009.666
760	2	1	156.452	1352.688	0.999	1005.537
780	2	1	154.295	1315.957	0.985	1023.179
800	2	1	145.559	1479.661	0.989	1002.35
820	2	1	150.913	1290.633	0.981	1008.795
840	2	1	143.673	1694.123	1	996.75
1000	2	1	127.055	1518.733	0.997	1010.119
860	2	1	140.651	1487.769	0.985	974.453
880	2	1	135.251	1501.037	0.987	1000.277
900	2	1	136.029	1440.57	0.994	985.971
920	2	1	138.349	1227.006	0.998	1030.19
940	2	1	133.074	1635.241	0.991	1025.112
960	2	1	136.406	1524.543	0.983	995.477
980	2	1	134.936	1545.449	1	1007.367
